Pore,Region,Area (um^2),Centroid X (um),Centroid Y (um),Perimeter (um),Ellipse Major Axis (um),Ellipse Minor Axis (um),Major Axis Angle (degree),Circularity,Max Feret Diameter (um),Max Feret X (um),Max Feret Y (um),Feret Angle (degree),Min Feret Diameter (um),Aspect Ratio,Roundness,Solidity,Pore Type
152,Pleural,6401.806,5500.276,6134.519,320.669,110.104,74.030,143.637,0.782,112.917,3173,3539,127.569,76.962,1.487,0.672,0.930,Cortical
153,Pleural,1522.688,5165.514,6129.707,141.870,44.749,43.325,141.947,0.951,47.730,2989,3555,154.359,43.029,1.033,0.968,0.963,Cortical
154,Pleural,995.376,2321.172,6145.301,114.922,39.502,32.083,155.546,0.947,41.630,1338,3564,150.255,32.702,1.231,0.812,0.953,Cortical
155,Pleural,3214.234,2577.131,6166.872,210.788,69.523,58.865,39.865,0.909,72.391,1479,3593,28.393,60.853,1.181,0.847,0.958,Cortical
156,Pleural,7850.433,8118.148,6207.116,331.587,113.515,88.054,131.293,0.897,114.816,4690,3585,139.864,88.845,1.289,0.776,0.972,Cortical
157,Pleural,678.396,6740.009,6219.126,93.850,32.470,26.602,133.295,0.968,33.947,3911,3605,120.466,26.775,1.221,0.819,0.958,Cortical
158,Pleural,891.691,5014.618,6229.570,108.455,36.840,30.818,55.594,0.953,38.678,2909,3630,69.145,31.643,1.195,0.837,0.945,Cortical
159,Pleural,1134.610,7034.237,6251.846,131.543,47.948,30.129,127.534,0.824,48.712,4079,3621,122.005,32.794,1.591,0.628,0.913,Cortical
160,Pleural,1060.549,3507.957,6271.959,132.796,54.951,24.573,142.689,0.756,54.018,2025,3635,149.349,25.816,2.236,0.447,0.906,Cortical
161,Pleural,1442.702,2214.993,6281.330,144.722,55.878,32.874,164.248,0.866,57.704,1271,3645,162.646,34.423,1.700,0.588,0.955,Cortical
162,Pleural,4763.583,4350.277,6307.864,256.374,79.000,76.775,55.123,0.911,81.642,2515,3644,124.695,77.139,1.029,0.972,0.965,Cortical
163,Pleural,2138.873,6535.906,6316.950,174.522,61.216,44.487,160.615,0.882,63.146,3780,3664,162.553,46.808,1.376,0.727,0.947,Cortical
164,Pleural,3433.454,2742.035,6348.883,215.657,67.509,64.756,83.001,0.928,70.316,1585,3670,111.541,65.404,1.042,0.959,0.963,Cortical
165,Pleural,2473.627,3099.289,6348.898,201.643,80.304,39.220,10.670,0.764,81.406,1778,3694,13.449,41.308,2.048,0.488,0.945,Cortical
166,Pleural,3537.139,7473.100,6368.410,240.588,83.890,53.685,36.568,0.768,86.058,4324,3716,36.870,57.765,1.563,0.640,0.915,Cortical
167,Pleural,2793.569,4578.729,6402.736,196.601,67.723,52.521,167.294,0.908,71.320,2641,3711,160.253,53.356,1.289,0.775,0.961,Cortical
